Brand,Saleprice,MRP,Weight,ProductType,Rating,ProductDetails,Description
Organic Origins,490,490,200 g,,4.2,Gourmet & World Food,Organic Almond Butter - Unsweetened
,,,,,,,
Organic Tattva,72,80,500 g,veg,4.1,"Foodgrains, Oil & Masala",Red - Poha
,,,,,,,
Organic Tattva,81,90,250 g,veg,4.4,"Foodgrains, Oil & Masala",Flour - Buckwheat
,,,,,,,
MeraKisan,331,331,100 g,veg,3,"Foodgrains, Oil & Masala",Organic Pista
,,,,,,,
MeraKisan,98,98,500 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Mix Dal
,,,,,,,
MeraKisan,78,78,500 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Chawli/Cowpea
,,,,,,,
MeraKisan,74.7,83,500 g,veg,3.6,"Foodgrains, Oil & Masala",Organic Chana Dal
,,,,,,,
Pro Nature,66,66,200 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Fenugreek
,,,,,,,
MeraKisan,146,146,250 g,veg,3.8,"Foodgrains, Oil & Masala",Organic White Sesame
,,,,,,,
Organic Tattva,58.5,65,1 kg,veg,4,"Foodgrains, Oil & Masala",Flour - Wheat
,,,,,,,
Organic Tattva,117,130,100 g,veg,3.6,"Foodgrains, Oil & Masala",Black - Peppercorns
,,,,,,,
MeraKisan,141,141,250 g,veg,3.7,"Foodgrains, Oil & Masala",Organic Chilli Powder
,,,,,,,
MeraKisan,133,133,1 kg,veg,5,"Foodgrains, Oil & Masala",Organic Idly Rice
,,,,,,,
MeraKisan,98,98,100 g,veg,4.7,"Foodgrains, Oil & Masala",Organic Chicken Masala
,,,,,,,
MeraKisan,116,116,1 kg,veg,2.8,"Foodgrains, Oil & Masala",Organic Ragi Flour
,,,,,,,
